AIR_FLOW,CEXREAL,NE,PIM,QFIN,THA,THW,soot
118.1255304,16.30278091,897.6928711,101.3465576,19.06419373,35.25479507,37.10496521,0.070829374
103.7878799,17.11200714,869.4300823,100.9673958,18.3214914,34.56427002,37.16658401,0.049862074
102.1794003,17.00498406,858.1972046,100.5082932,18.97826004,34.04322815,37.22931671,0.34593301
101.0764236,17.03559113,857.1795654,100.4151535,18.58681488,33.55955505,37.24634552,2.737220019
100.9017343,15.99994935,846.4592285,100.4772491,22.80909348,33.16636658,37.19055176,4.008981905
101.615921,16.09373474,851.2818045,100.5611509,22.38819837,32.8271637,37.10816193,3.97895315
101.6357651,16.17415237,852.7874756,100.6014328,22.13232994,32.5594101,37.02081299,3.516038855
102.7093481,16.24182269,855.1571487,100.6509061,21.54602387,32.35016148,36.97735383,3.358978578
102.2802582,16.38797188,856.567688,100.6014328,20.89081192,32.15200043,36.92832184,3.403791386
101.9894485,16.53808275,856.091326,100.5822877,20.50849153,31.99303055,36.88538361,3.532565503
101.1485672,16.67950249,854.7434082,100.554863,20.14608574,31.8646431,36.88936234,3.570805536
101.6719589,16.72143793,855.0830664,100.5335536,19.80537378,31.76771545,36.88122177,3.534909585
146.0528412,9.233012199,1270.271362,101.8743591,54.17424393,31.66615554,36.8774576,3.548723322
261.3763123,9.182623598,1453.981445,122.84655,58.77519608,31.56671333,36.88503265,4.322937762
314.8013916,3.779135227,1341.891602,158.9696503,122.6263123,31.49703598,36.90522003,5.361828882
338.3220825,2.720132261,1218.260053,192.3065259,138.2528878,31.51203156,36.92332458,8.39035822
218.5917358,3.015327215,1087.88269,153.8469086,122.252243,31.25102615,36.95189667,12.38281234
375.5731788,3.238059759,1431.308066,185.5346157,136.4946072,30.90644455,37.04064941,13.41681191
512.9022073,4.698412895,1790.760683,223.7450195,138.6158404,31.1202774,37.15327835,14.05832807
578.3757542,5.334377773,2106.840222,241.4455926,129.4873111,31.46692276,37.30311584,19.79056309
602.1465545,6.022126593,2373.682063,237.2675846,117.9016427,32.08992004,37.4901123,13.05247315
